Norsk navn,Latinsk navn,Familie,Type,bilde_url,norskflora_url,bilde_status
Rosenrot,Rhodiola rosea,Bergknappfamilien,Urt/staude,https://norskflora.no/plante/?sle=Rhodiola&art=rosea,https://bilder.norskflora.no/orig/IMG_4427.jpg,FUNNET,
Ryllik,Achillea millefolium,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Achillea&art=millefolium,https://bilder.norskflora.no/orig/mentzi14.jpg,FUNNET,
Rynkevier,Salix reticulata,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=reticulata,https://bilder.norskflora.no/orig/floradanica_0212.jpg,FUNNET,
Rødjonsokblom,Silene dioica,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Silene&art=dioica,https://bilder.norskflora.no/orig/floradanica_2172.jpg,FUNNET,
Rødkløver,Trifolium pratense,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Trifolium&art=pratense,https://bilder.norskflora.no/orig/floradanica_0989.jpg,FUNNET,
Rødknapp,Knautia arvensis,Kardeborrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Knautia&art=arvensis,https://bilder.norskflora.no/orig/mentzi51.jpg,FUNNET,
Rødsildre,Saxifraga oppositifolia,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=oppositifolia,https://bilder.norskflora.no/orig/mentziv610.jpg,FUNNET,
Røsslyng,Calluna vulgaris,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Calluna&art=vulgaris,https://bilder.norskflora.no/orig/mentzi147.jpg,FUNNET,
Sauesvingel,Festuca ovina,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Festuca&art=ovina,https://bilder.norskflora.no/orig/mentzii443.jpg,FUNNET,
Sauetelg,Dryopteris expansa,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Dryopteris&art=expansa,https://bilder.norskflora.no/orig/floradanica_3055.jpg,FUNNET,
Selje,Salix caprea,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=caprea,https://bilder.norskflora.no/orig/mentzii377.jpg,FUNNET,
Sibirgran,Picea obovata,Furufamilien,Tre/busk,https://norskflora.no/plante/?sle=Picea&art=obovata,https://bilder.norskflora.no/orig/potapova1.jpg,FUNNET,
Sibirklematis,Clematis alpina ssp sibirica,Soleiefamilien,Tre/busk,https://norskflora.no/plante/?sle=Clematis&art=alpina&und=ssp+sibirica,https://bilder.norskflora.no/orig/iconesplantarum_clealp.jpg,FUNNET,
Sibirstjerne,Eurybia sibirica,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Eurybia&art=sibirica,https://bilder.norskflora.no/orig/mentziv522.jpg,FUNNET,
Sikori,Cichorium intybus,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Cichorium&art=intybus,https://bilder.norskflora.no/orig/mentzi49.jpg,FUNNET,
Silkenellik,Dianthus superbus,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Dianthus&art=superbus,https://bilder.norskflora.no/orig/floradanica_0578.jpg,FUNNET,
Sisselrot,Polypodium vulgare,Sisselrotfamilien,Bregne,https://norskflora.no/plante/?sle=Polypodium&art=vulgare,https://bilder.norskflora.no/orig/mentzii499.jpg,FUNNET,
Skavsnelle,Equisetum hyemale,Snellefamilien,Bregne,https://norskflora.no/plante/?sle=Equisetum&art=hyemale,https://bilder.norskflora.no/orig/mentzii513.jpg,FUNNET,
Skjeggklokke,Campanula barbata,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=barbata,https://bilder.norskflora.no/orig/floradanica_S0129.jpg,FUNNET,
Skjermsveve,Hieracium umbellatum,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Hieracium&art=umbellatum,https://bilder.norskflora.no/orig/mentzi41.jpg,FUNNET,
Skjørbuksurt,Cochlearia officinalis,Korsblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Cochlearia&art=officinalis,https://bilder.norskflora.no/orig/mentzi204.jpg,FUNNET,
Skogburkne,Athyrium filix-femina,Storburknefamilien,Bregne,https://norskflora.no/plante/?sle=Athyrium&art=filix-femina,https://bilder.norskflora.no/orig/floradanica_2436.jpg,FUNNET,
Skogfiol,Viola riviniana,Fiolfamilien,Urt/staude,https://norskflora.no/plante/?sle=Viola&art=riviniana,https://bilder.norskflora.no/orig/floradanica_1453.jpg,FUNNET,
Skogkløver,Trifolium medium,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Trifolium&art=medium,https://bilder.norskflora.no/orig/floradanica_1273.jpg,FUNNET,
Skogkråkefot,Lycopodium complanatum,Kråkefotfamilien,Kråkefotplante,https://norskflora.no/plante/?sle=Lycopodium&art=complanatum,https://bilder.norskflora.no/orig/mentzii518.jpg,FUNNET,
Skogrørkvein,Calamagrostis purpurea,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Calamagrostis&art=purpurea,https://bilder.norskflora.no/orig/floradanica_2524.jpg,FUNNET,
Skogsalat,Lactuca muralis,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Lactuca&art=muralis,https://bilder.norskflora.no/orig/mentziv557.jpg,FUNNET,
Skogsivaks,Scirpus sylvaticus,Starrfamilien,Gressplante,https://norskflora.no/plante/?sle=Scirpus&art=sylvaticus,https://bilder.norskflora.no/orig/floradanica_0307.jpg,FUNNET,
Skogstorkenebb,Geranium sylvaticum,Storkenebbfamilien,Urt/staude,https://norskflora.no/plante/?sle=Geranium&art=sylvaticum,https://bilder.norskflora.no/orig/mentzi215.jpg,FUNNET,
Skogsvinerot,Stachys sylvatica,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Stachys&art=sylvatica,https://bilder.norskflora.no/orig/mentzi97.jpg,FUNNET,
Skrubbær,Cornus suecica,Kornellfamilien,Urt/staude,https://norskflora.no/plante/?sle=Cornus&art=suecica,https://bilder.norskflora.no/orig/mentzi248.jpg,FUNNET,
Skvallerkål,Aegopodium podagraria,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Aegopodium&art=podagraria,https://bilder.norskflora.no/orig/mentzi262.jpg,FUNNET,
Slyngsøtvier,Solanum dulcamara,Søtvierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Solanum&art=dulcamara,https://bilder.norskflora.no/orig/mentzi109.jpg,FUNNET,
Slåpetorn,Prunus spinosa,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Prunus&art=spinosa,https://bilder.norskflora.no/orig/mentzii313.jpg,FUNNET,
Sløke,Angelica sylvestris,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Angelica&art=sylvestris,https://bilder.norskflora.no/orig/mentzi255.jpg,FUNNET,
Smalkjempe,Plantago lanceolata,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Plantago&art=lanceolata,https://bilder.norskflora.no/orig/mentzi127.jpg,FUNNET,
Smyle,Avenella flexuosa,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Avenella&art=flexuosa,https://bilder.norskflora.no/orig/mentzii462.jpg,FUNNET,
Småbladlind,Tilia cordata,Kattostfamilien,Tre/busk,https://norskflora.no/plante/?sle=Tilia&art=cordata,https://bilder.norskflora.no/orig/mentzi233.jpg,FUNNET,
Smårørkvein,Achnatherum calamagrostis,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Achnatherum&art=calamagrostis,https://bilder.norskflora.no/orig/mentzii467.jpg,FUNNET,
Småtranebær,Vaccinium microcarpum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=microcarpum,https://bilder.norskflora.no/orig/mentzi144.jpg,FUNNET,
Småvier,Salix arbuscula,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=arbuscula,https://bilder.norskflora.no/orig/floradanica_2857.jpg,FUNNET,
Sneglebelg,Medicago lupulina,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Medicago&art=lupulina,https://bilder.norskflora.no/orig/floradanica_0992.jpg,FUNNET,
Snerprørkvein,Calamagrostis arundinacea,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Calamagrostis&art=arundinacea,https://bilder.norskflora.no/orig/floradanica_1683.jpg,FUNNET,
Solblom,Arnica montana,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Arnica&art=montana,https://bilder.norskflora.no/orig/mentzi22.jpg,FUNNET,
Solrose,Helianthemum nummularium,Solrosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Helianthemum&art=nummularium,https://bilder.norskflora.no/orig/mentzi229.jpg,FUNNET,
Sommereik,Quercus robur,Bøkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Quercus&art=robur,https://bilder.norskflora.no/orig/mentzii368.jpg,FUNNET,
Spisslønn,Acer platanoides,Lønnefamilien,Tre/busk,https://norskflora.no/plante/?sle=Acer&art=platanoides,https://bilder.norskflora.no/orig/mentzi236.jpg,FUNNET,
Steinnype,Rosa canina,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=canina,https://bilder.norskflora.no/orig/floradanica_1695.jpg,FUNNET,
Stjernemarikåpe,Alchemilla vulgaris,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Alchemilla&art=vulgaris,https://bilder.norskflora.no/orig/mentzii297.jpg,FUNNET,
Storblåfjær,Polygala vulgaris,Blåfjærfamilien,Urt/staude,https://norskflora.no/plante/?sle=Polygala&art=vulgaris,https://bilder.norskflora.no/orig/mentzi222.jpg,FUNNET,
Storfrytle,Luzula sylvatica,Sivfamilien,Gressplante,https://norskflora.no/plante/?sle=Luzula&art=sylvatica,https://bilder.norskflora.no/orig/floradanica_0441.jpg,FUNNET,
Storklokke,Campanula latifolia,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=latifolia,https://bilder.norskflora.no/orig/mentzi54.jpg,FUNNET,
Storkonvall,Polygonatum multiflorum,Aspargesfamilien,Urt/staude,https://norskflora.no/plante/?sle=Polygonatum&art=multiflorum,https://bilder.norskflora.no/orig/thome110.jpg,FUNNET,
Storveronika,Veronica longifolia,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Veronica&art=longifolia,https://bilder.norskflora.no/orig/floradanica_0374.jpg,FUNNET,
Strandkål,Crambe maritima,Korsblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Crambe&art=maritima,https://bilder.norskflora.no/orig/mentzi201.jpg,FUNNET,
Strandrug,Leymus arenarius,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Leymus&art=arenarius,https://bilder.norskflora.no/orig/mentzii477.jpg,FUNNET,
Strandrør,Phalaris arundinacea,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Phalaris&art=arundinacea,https://bilder.norskflora.no/orig/mentzii473.jpg,FUNNET,
Strandstjerne,Tripolium pannonicum,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Tripolium&art=pannonicum,https://bilder.norskflora.no/orig/mentzi33.jpg,FUNNET,
Strandtorn,Eryngium maritimum,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Eryngium&art=maritimum,https://bilder.norskflora.no/orig/mentziv604.jpg,FUNNET,
Strandvindel,Calystegia sepium,Vindelfamilien,Urt/staude,https://norskflora.no/plante/?sle=Calystegia&art=sepium,https://bilder.norskflora.no/orig/mentzi105.jpg,FUNNET,
Strandvortemelk,Euphorbia palustris,Vortemelkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Euphorbia&art=palustris,https://bilder.norskflora.no/orig/floradanica_0866.jpg,FUNNET,
Strikråkefot,Lycopodium annotinum,Kråkefotfamilien,Kråkefotplante,https://norskflora.no/plante/?sle=Lycopodium&art=annotinum,https://bilder.norskflora.no/orig/floradanica_0127.jpg,FUNNET,
Strutseving,Onoclea struthiopteris,Strutsevingfamilien,Bregne,https://norskflora.no/plante/?sle=Onoclea&art=struthiopteris,https://bilder.norskflora.no/orig/floradanica_0169.jpg,FUNNET,
Svartor,Alnus glutinosa,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Alnus&art=glutinosa,https://bilder.norskflora.no/orig/mentzii373.jpg,FUNNET,
Svartsøtvier,Solanum nigrum,Søtvierfamilien,Urt/staude,https://norskflora.no/plante/?sle=Solanum&art=nigrum,https://bilder.norskflora.no/orig/mentzi108.jpg,FUNNET,
Svartvier,Salix myrsinifolia,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=myrsinifolia,https://bilder.norskflora.no/orig/floradanica_2553.jpg,FUNNET,
Svenskasal,Scandosorbus intermedia,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Scandosorbus&art=intermedia,https://bilder.norskflora.no/orig/IMG_6761.jpg,FUNNET,
Sverdlilje,Iris pseudacorus,Sverdliljefamilien,Urt/staude,https://norskflora.no/plante/?sle=Iris&art=pseudacorus,https://bilder.norskflora.no/orig/mentzii398.jpg,FUNNET,
Sølvasal,Aria edulis,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Aria&art=edulis,https://bilder.norskflora.no/orig/mentziv612.jpg,FUNNET,
Sølvbunke,Deschampsia cespitosa,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Deschampsia&art=cespitosa,https://bilder.norskflora.no/orig/mentzii462.jpg,FUNNET,
Sølvvier,Salix glauca,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=glauca,https://bilder.norskflora.no/orig/floradanica_2982.jpg,FUNNET,
Søterot,Gentiana purpurea,Søterotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Gentiana&art=purpurea,https://bilder.norskflora.no/orig/floradanica_0050.jpg,FUNNET,
Søtkirsebær,Prunus avium,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Prunus&art=avium,https://bilder.norskflora.no/orig/mentzii314.jpg,FUNNET,
Takrør,Phragmites australis,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Phragmites&art=australis,https://bilder.norskflora.no/orig/mentzii470.jpg,FUNNET,
Teiebær,Rubus saxatilis,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Rubus&art=saxatilis,https://bilder.norskflora.no/orig/mentzii309.jpg,FUNNET,
Tepperot,Potentilla erecta,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Potentilla&art=erecta,https://bilder.norskflora.no/orig/mentzii300.jpg,FUNNET,
Tindved,Hippophae rhamnoides,Sølvbuskfamilien,Tre/busk,https://norskflora.no/plante/?sle=Hippophae&art=rhamnoides,https://bilder.norskflora.no/orig/IMG_2007.jpg,FUNNET,
Tiriltunge,Lotus corniculatus,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Lotus&art=corniculatus,https://bilder.norskflora.no/orig/IMG_4427.jpg,FUNNET,
Trollbær,Actaea spicata,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Actaea&art=spicata,https://bilder.norskflora.no/orig/mentzi179.jpg,FUNNET,
Trollhegg,Frangula alnus,Trollheggfamilien,Tre/busk,https://norskflora.no/plante/?sle=Frangula&art=alnus,https://bilder.norskflora.no/orig/mentzi239.jpg,FUNNET,
Trollnyperose,Rosa spinosissima,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=spinosissima,https://bilder.norskflora.no/orig/mentzii294.jpg,FUNNET,
Tundraarve,Cerastium arcticum,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Cerastium&art=arcticum,https://bilder.norskflora.no/orig/floradanica_2963.jpg,FUNNET,
Turt,Cicerbita alpina,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Cicerbita&art=alpina,https://bilder.norskflora.no/orig/mentzi47.jpg,FUNNET,
Tusenfryd,Bellis perennis,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Bellis&art=perennis,https://bilder.norskflora.no/orig/mentzi35.jpg,FUNNET,
Tveskjeggveronika,Veronica chamaedrys,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Veronica&art=chamaedrys,https://bilder.norskflora.no/orig/floradanica_0448.jpg,FUNNET,
Tysbast,Daphne mezereum,Tysbastfamilien,Tre/busk,https://norskflora.no/plante/?sle=Daphne&art=mezereum,https://bilder.norskflora.no/orig/IMG_1901.jpg,FUNNET,
Tyttebær,Vaccinium vitis-idaea,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=vitis-idaea,https://bilder.norskflora.no/orig/mentzi143.jpg,FUNNET,
Ugressklokke,Campanula rapunculoides,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=rapunculoides,https://bilder.norskflora.no/orig/mentzi55.jpg,FUNNET,
Ullvier,Salix lanata,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=lanata,https://bilder.norskflora.no/orig/floradanica_1057.jpg,FUNNET,
Vadderot,Phyteuma spicatum,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Phyteuma&art=spicatum,https://bilder.norskflora.no/orig/mentziv565.jpg,FUNNET,
Vassgro,Alisma plantago-aquatica,Vassgrofamilien,Urt/staude,https://norskflora.no/plante/?sle=Alisma&art=plantago-aquatica,https://bilder.norskflora.no/orig/mentzii484.jpg,FUNNET,
Vasslirekne,Persicaria amphibia,Slireknefamilien,Urt/staude,https://norskflora.no/plante/?sle=Persicaria&art=amphibia,https://bilder.norskflora.no/orig/floradanica_0282.jpg,FUNNET,
Villkornell,Cornus sanguinea,Kornellfamilien,Tre/busk,https://norskflora.no/plante/?sle=Cornus&art=sanguinea,https://bilder.norskflora.no/orig/mentzi247.jpg,FUNNET,
Vintereik,Quercus petraea,Bøkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Quercus&art=petraea,https://bilder.norskflora.no/orig/floradanica_2667.jpg,FUNNET,
Vivendel,Lonicera periclymenum,Kaprifolfamilien,Tre/busk,https://norskflora.no/plante/?sle=Lonicera&art=periclymenum,https://bilder.norskflora.no/orig/mentzi66.jpg,FUNNET,
Vårerteknapp,Lathyrus vernus,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Lathyrus&art=vernus,https://bilder.norskflora.no/orig/mentzii315.jpg,FUNNET,
Åkerbær,Rubus arcticus,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Rubus&art=arcticus,https://bilder.norskflora.no/orig/mentzii310.jpg,FUNNET,
Åkersvineblom,Senecio vulgaris,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Senecio&art=vulgaris,https://bilder.norskflora.no/orig/mentzi21.jpg,FUNNET,
Ørevier,Salix aurita,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=aurita,https://bilder.norskflora.no/orig/floradanica_2600.jpg,FUNNET,
